stock_code,name,current_price,ROE,EPS,年營收成長率,月營收成長率,market_cap,sector,industry,data_sources
2330.TW,台積電,394.92,23.44,18.33,12.06,9.14,394922109740,Technology,Semiconductors,['REALISTIC_ESTIMATE']
2317.TW,鴻海,120.71,15.37,0.95,-5.69,-5.99,120707535826,Technology Hardware,Electronic Equipment,['REALISTIC_ESTIMATE']
2454.TW,聯發科,710.34,18.57,23.91,-11.12,-4.71,710343295785,Technology,Semiconductors,['REALISTIC_ESTIMATE']
2891.TW,中信金,28.19,10.56,2.34,7.55,5.71,28188390551,Financial Services,Banks,['REALISTIC_ESTIMATE']
2882.TW,國泰金,16.81,8.58,2.27,4.28,4.27,16805296709,Financial Services,Insurance,['REALISTIC_ESTIMATE']
2412.TW,中華電,80.87,10.2,2.84,0.36,-1.01,80874059665,Telecommunications,Telecom Services,['REALISTIC_ESTIMATE']
2002.TW,中鋼,135.3,7.12,5.8,-14.51,-14.32,135303479471,Basic Materials,Steel,['REALISTIC_ESTIMATE']
1301.TW,台塑,41.73,5.11,2.66,-8.79,-7.73,41733717513,Basic Materials,Chemicals,['REALISTIC_ESTIMATE']
1303.TW,南亞,143.02,11.2,2.3,8.54,6.9,143023713027,Basic Materials,Manufacturing,['REALISTIC_ESTIMATE']
2881.TW,富邦金,32.15,9.56,1.93,8.43,7.65,32149503207,Financial Services,Manufacturing,['REALISTIC_ESTIMATE']
2886.TW,兆豐金,29.88,9.15,3.16,4.18,2.03,29884994530,Financial Services,Manufacturing,['REALISTIC_ESTIMATE']
2884.TW,玉山金,139.88,6.68,2.03,4.83,3.59,139883896003,Financial Services,Manufacturing,['REALISTIC_ESTIMATE']
6505.TW,台塑化,53.07,5.45,4.34,4.52,5.04,53068358926,Basic Materials,Manufacturing,['REALISTIC_ESTIMATE']
2912.TW,統一超,81.02,11.24,0.52,9.82,6.4,81024779348,Consumer Goods,Retail,['REALISTIC_ESTIMATE']
2207.TW,和泰車,44.16,9.63,2.33,12.74,9.8,44155306649,Industrials,Manufacturing,['REALISTIC_ESTIMATE']
2303.TW,聯電,101.75,9.66,5.8,15.85,13.74,101747967655,Technology,Manufacturing,['REALISTIC_ESTIMATE']
3711.TW,日月光投控,626.52,15.48,9.03,-13.27,-8.55,626516463220,Technology,Manufacturing,['REALISTIC_ESTIMATE']
2357.TW,華碩,40.21,16.2,5.4,7.54,6.19,40207054784,Technology Hardware,Manufacturing,['REALISTIC_ESTIMATE']
2382.TW,廣達,88.02,15.94,4.66,27.16,24.32,88021056409,Technology Hardware,Manufacturing,['REALISTIC_ESTIMATE']
2324.TW,仁寶,115.56,11.43,1.37,10.78,6.85,115562821965,Technology Hardware,Manufacturing,['REALISTIC_ESTIMATE']
2105.TW,正新,76.21,10.29,4.42,-5.95,-5.06,76209154025,Consumer Goods,Manufacturing,['REALISTIC_ESTIMATE']
1216.TW,統一,84.77,5.62,1.73,2.97,0.91,84765704227,Consumer Goods,Manufacturing,['REALISTIC_ESTIMATE']
2474.TW,可成,22.05,7.17,5.28,-5.09,-5.1,22050128176,Industrials,Manufacturing,['REALISTIC_ESTIMATE']
3034.TW,聯詠,47.57,10.83,5.68,6.84,5.93,47565158537,Technology,Manufacturing,['REALISTIC_ESTIMATE']
2408.TW,南亞科,132.02,12.84,4.9,-1.75,-1.93,132017002140,Industrials,Manufacturing,['REALISTIC_ESTIMATE']
3045.TW,台灣大,26.23,5.85,1.24,0.38,0.88,26225827859,Telecommunications,Manufacturing,['REALISTIC_ESTIMATE']
4904.TW,遠傳,142.28,15.61,1.08,-0.03,0.47,142275205856,Telecommunications,Manufacturing,['REALISTIC_ESTIMATE']
