stock_code,name,current_price,ROE,EPS,年營收成長率,月營收成長率,market_cap,sector,industry,data_sources
1101.TW,台泥,29.35,15.0,1.85,2.3,1.85,29350000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1102.TW,亞泥,41.85,12.0,3.01,8.99,10.65,41850000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1103.TW,嘉泥,15.15,15.0,1.51,3.24,3.06,15150000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1104.TW,環泥,30.9,15.0,1.79,5.84,6.13,30900000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1108.TW,幸福,15.25,15.0,0.94,17.97,21.66,15250000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1109.TW,信大,17.35,12.0,1.2,0.92,1.15,17350000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1110.TW,東泥,20.2,15.0,1.36,11.27,9.85,20200000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1201.TW,味全,16.45,15.0,1.62,11.0,11.1,16450000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1203.TW,味王,40.05,15.0,3.65,6.04,7.6,40050000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1210.TW,大成,63.7,15.0,4.89,11.22,9.99,63700000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1213.TW,大飲,12.85,18.0,0.88,12.38,11.89,12850000000,Industrials,Manufacturing,['TWSTOCK']
1215.TW,卜蜂,111.0,15.0,7.16,9.62,11.29,111000000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1216.TW,統一,79.6,12.0,7.36,17.65,22.02,79600000000,Consumer Goods,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1217.TW,愛之味,11.05,12.0,0.74,5.68,5.64,11050000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1218.TW,泰山,21.3,15.0,1.33,12.5,9.86,21300000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1219.TW,福壽,15.55,15.0,1.29,4.85,5.82,15550000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
