stock_code,name,ROE,EPS,年營收成長率,月營收成長率,market_cap,sector,industry
2330.TW,台積電,34.56,-1.58,13.9,7.43,6573726726414,Technology,Semiconductors
2317.TW,鴻海,21.8,4.0,-3.56,-30.22,5760001605604,Technology Hardware,Electronic Equipment
2454.TW,聯發科,20.79,3.18,46.72,-56.86,5995126499751,Technology,Semiconductors
2891.TW,中信金,15.4,2.63,0.11,13.16,9143582976174,Financial Services,Banks
2882.TW,國泰金,4.34,1.9,-1.27,24.25,4521218813658,Financial Services,Insurance
2881.TW,富邦金,9.54,2.58,4.36,0.92,8605524111929,Financial Services,Manufacturing
2412.TW,中華電,12.23,0.23,0.27,-8.03,3396919239881,Telecommunications,Telecom Services
2002.TW,中鋼,18.68,3.41,-0.1,-31.0,2388837412845,Basic Materials,Steel
1301.TW,台塑,21.52,2.47,-18.94,-7.99,1503521866927,Basic Materials,Chemicals
2308.TW,台達電,15.66,3.79,-1.67,25.49,2721104650114,Industrials,Manufacturing
2382.TW,廣達,12.23,3.95,-3.17,-15.63,8160970536001,Technology Hardware,Manufacturing
2357.TW,華碩,9.03,1.79,8.73,1.07,4849570472642,Technology Hardware,Manufacturing
3711.TW,日月光投控,25.2,4.43,-11.83,39.96,6303542513244,Technology,Manufacturing
2303.TW,聯電,14.02,0.95,-11.2,15.77,328663463234,Technology,Manufacturing
2327.TW,國巨,10.02,3.15,12.02,-21.2,741744981430,Industrials,Manufacturing
2912.TW,統一超,15.44,2.99,21.58,-16.05,5103973603803,Industrials,Manufacturing
1216.TW,統一,24.56,2.45,29.76,-22.36,7506199458360,Industrials,Manufacturing
2105.TW,正新,13.37,3.11,-7.46,-13.07,432570323907,Industrials,Manufacturing
2207.TW,和泰車,14.75,-0.52,14.63,14.09,5124214599866,Industrials,Manufacturing
3008.TW,大立光,12.61,1.94,-13.95,-3.95,2386495150831,Industrials,Manufacturing
2395.TW,研華,15.57,2.28,4.11,31.5,4971418067134,Industrials,Manufacturing
2379.TW,瑞昱,24.26,2.61,-11.19,9.58,5074387479209,Industrials,Manufacturing
1303.TW,南亞,19.53,1.11,43.06,-15.79,3493256731869,Basic Materials,Manufacturing
2886.TW,兆豐金,1.04,2.0,12.41,7.01,2202764117696,Financial Services,Manufacturing
2884.TW,玉山金,8.11,1.09,1.23,5.38,4416355066419,Financial Services,Manufacturing
6505.TW,台塑化,16.59,1.68,21.0,-25.9,1031448679254,Industrials,Manufacturing
