stock_code,name,ROE,EPS,年營收成長率,月營收成長率
2330.TW,台積電,19.97,2.72,26.19,53.69
2317.TW,鴻海,12.66,2.53,49.48,31.02
2454.TW,聯發科,10.31,4.09,-1.59,-5.97
2891.TW,中信金,17.42,-0.83,-33.12,-8.87
2882.TW,國泰金,4.87,3.63,-12.7,-34.37
2303.TW,聯電,29.66,2.55,11.69,-34.74
2002.TW,中鋼,9.56,3.22,-18.77,19.27
2881.TW,富邦金,8.99,2.42,-5.04,63.57
2886.TW,兆豐金,14.87,0.88,30.56,-28.63
2395.TW,研華,17.09,-0.92,-23.2,13.91
2412.TW,中華電,22.38,3.34,7.11,-1.03
1301.TW,台塑,0.21,1.56,-1.52,39.71
1303.TW,南亞,18.44,-0.53,18.1,-3.55
2207.TW,和泰車,8.23,4.22,35.77,35.94
2308.TW,台達電,6.61,2.38,18.28,37.27
2357.TW,華碩,10.21,2.63,-17.66,-27.89
2382.TW,廣達,23.13,5.71,8.2,38.11
2603.TW,長榮,18.62,1.71,19.03,54.14
3008.TW,大立光,14.64,6.13,-55.49,32.66
6505.TW,台塑化,15.87,2.4,12.29,-51.63
2327.TW,國巨,12.8,3.71,46.95,-7.55
2379.TW,瑞昱,6.92,2.0,32.89,17.86
2344.TW,華邦電,9.7,4.03,12.43,37.06
2301.TW,光寶科,7.98,2.34,0.2,-35.91
1216.TW,統一,17.96,3.52,10.13,0.96
2385.TW,群光,0.85,2.16,1.43,-16.07
2409.TW,友達,13.39,3.81,57.15,13.24
2408.TW,南亞科,17.58,2.85,-37.97,7.2
2884.TW,玉山金,15.6,7.93,5.19,17.05
2892.TW,第一金,14.65,0.66,38.57,30.56
3711.TW,日月光投控,22.91,1.18,45.07,-34.06
2609.TW,陽明,20.87,7.38,-14.76,-8.99
2615.TW,萬海,16.0,1.99,-28.77,10.06
2204.TW,中華,4.38,3.95,-12.99,54.5
2323.TW,中環,7.17,2.36,30.34,-28.93
2474.TW,可成,17.27,5.61,-30.19,13.54
3034.TW,聯詠,17.6,4.56,-20.92,-31.61
2376.TW,技嘉,20.22,3.59,16.26,18.39
3045.TW,台灣大,8.2,3.46,17.33,-13.43
4904.TW,遠傳,33.66,3.95,-19.78,27.7
2912.TW,統一超,5.25,4.57,38.96,-16.62
2105.TW,正新,24.63,3.83,30.55,64.9
1102.TW,亞泥,12.55,1.49,-12.24,-16.47
1101.TW,台泥,14.23,3.68,16.92,32.82
2105.TW,正新,15.13,5.91,3.38,89.61
6415.TW,矽力-KY,21.26,1.29,-16.77,22.47
3443.TW,創意,12.77,4.43,21.83,5.82
2360.TW,致茂,6.53,-0.03,-1.16,33.69
3231.TW,緯創,17.14,0.51,14.33,19.56
6669.TW,緯穎,6.16,3.31,11.46,-26.29
