股票代碼,股票名稱,EPS,ROE,營收成長率,速動比率,現價,市值,產業,部門
1213.TW,"Oceanic Beverages Co., Inc.",8.7,104.096,322.7,4.411,13.8,781391872.0,Beverages - Non-Alcoholic,Consumer Defensive
1446.TW,"Hong Ho Precision Textile Co.,Ltd.",9.82,62.976,30.7,1.491,31.15,4289666560.0,Textile Manufacturing,Consumer Cyclical
4763.TW,"Jinan Acetate Chemical Co., Ltd.",84.26,62.77199999999999,18.099999999999998,3.394,859.0,84967727104.0,Chemicals,Basic Materials
1519.TW,"Fortune Electric Co., Ltd.",14.92,57.304,27.6,0.763,449.5,129080221696.0,Electrical Equipment & Parts,Industrials
6757.TW,"Tigerair Taiwan Co., Ltd.",6.15,46.760000000000005,10.7,1.595,90.5,41587462144.0,Airlines,Industrials
6409.TW,Voltronic Power Technology Corp.,47.89,45.981997,9.0,1.556,1530.0,134212517888.0,Electrical Equipment & Parts,Industrials
2345.TW,Accton Technology Corporation,21.35,39.034998,77.5,1.012,576.0,321931018240.0,Communication Equipment,Technology
2543.TW,"Hwang Chang General Contractor Co., Ltd",5.2,38.769,-6.4,0.767,82.4,37494390784.0,Engineering & Construction,Industrials
2348.TW,"Hi-Yes International Co., Ltd.",19.14,37.653999999999996,21.099999999999998,0.859,146.0,22153310208.0,Real Estate Services,Real Estate
6442.TW,EZconn Corporation,14.21,36.720002,303.4,1.739,412.5,31349999616.0,Electronic Components,Technology
2739.TW,"My Humble House Hospitality Management Consulting Co., Ltd.",5.39,36.272999999999996,1.3,0.469,42.75,3912736512.0,Lodging,Consumer Cyclical
6669.TW,Wiwynn Corporation,122.5,34.923,97.5,1.136,1635.0,303850029056.0,Computer Hardware,Technology
6691.TW,"Yankey Engineering Co., Ltd.",19.34,34.150999999999996,62.7,1.547,390.5,40950562816.0,Engineering & Construction,Industrials
8454.TW,momo.com Inc.,13.68,34.092999,1.9,0.541,347.5,87694057472.0,Internet Retail,Consumer Cyclical
9906.TW,Hsin Ba Ba Corporation,6.39,33.585,1185.3999999999999,0.236,102.5,9263540224.0,Engineering & Construction,Industrials
3443.TW,Global Unichip Corp.,25.53,32.901,-4.6,1.062,1050.0,140711542784.0,Semiconductors,Technology
2059.TW,"King Slide Works Co., Ltd.",63.51,32.631,66.10000000000001,6.565,1650.0,157240049664.0,"Furnishings, Fixtures & Appliances",Consumer Cyclical
2379.TW,Realtek Semiconductor Corp.,29.32,32.127,16.6,1.219,523.0,268227346432.0,Semiconductors,Technology
