stock_code,code,name,market,sector,industry
1101.TW,1101,台泥,上市,Basic Materials,Others
1102.TW,1102,亞泥,上市,Basic Materials,Others
1103.TW,1103,嘉泥,上市,Basic Materials,Others
1104.TW,1104,環泥,上市,Basic Materials,Others
1108.TW,1108,幸福,上市,Basic Materials,Others
1109.TW,1109,信大,上市,Basic Materials,Others
1110.TW,1110,東泥,上市,Basic Materials,Others
1201.TW,1201,味全,上市,Consumer Goods,Others
1203.TW,1203,味王,上市,Consumer Goods,Others
1210.TW,1210,大成,上市,Consumer Goods,Others
1213.TW,1213,大飲,上市,Consumer Goods,Others
1215.TW,1215,卜蜂,上市,Consumer Goods,Others
1216.TW,1216,統一,上市,Consumer Goods,Others
1217.TW,1217,愛之味,上市,Consumer Goods,Others
1218.TW,1218,泰山,上市,Consumer Goods,Others
1219.TW,1219,福壽,上市,Consumer Goods,Others
1220.TW,1220,台榮,上市,Consumer Goods,Others
1225.TW,1225,福懋油,上市,Consumer Goods,Others
1229.TW,1229,聯華,上市,Consumer Goods,Others
1231.TW,1231,聯華食,上市,Consumer Goods,Others
1232.TW,1232,大統益,上市,Consumer Goods,Others
1233.TW,1233,天仁,上市,Consumer Goods,Others
1234.TW,1234,黑松,上市,Consumer Goods,Others
1235.TW,1235,興泰,上市,Consumer Goods,Others
1236.TW,1236,宏亞,上市,Consumer Goods,Others
1262.TW,1262,綠悠遊,上市,Consumer Goods,Others
1264.TW,1264,德麥,上市,Consumer Goods,Others
1301.TW,1301,台塑,上市,Basic Materials,Others
1303.TW,1303,南亞,上市,Basic Materials,Others
1304.TW,1304,台聚,上市,Basic Materials,Others
1305.TW,1305,華夏,上市,Basic Materials,Others
1307.TW,1307,三芳,上市,Basic Materials,Others
1308.TW,1308,亞聚,上市,Basic Materials,Others
1309.TW,1309,台達化,上市,Basic Materials,Others
1310.TW,1310,台苯,上市,Basic Materials,Others
1312.TW,1312,國喬,上市,Basic Materials,Others
1313.TW,1313,聯成,上市,Basic Materials,Others
1314.TW,1314,中石化,上市,Basic Materials,Others
1315.TW,1315,達新,上市,Basic Materials,Others
1316.TW,1316,上曜,上市,Basic Materials,Others
1319.TW,1319,東陽,上市,Basic Materials,Others
1321.TW,1321,大洋,上市,Basic Materials,Others
1323.TW,1323,永裕,上市,Basic Materials,Others
1324.TW,1324,地球,上市,Basic Materials,Others
1325.TW,1325,恆大,上市,Basic Materials,Others
1326.TW,1326,台化,上市,Basic Materials,Others
