stock_code,name,ROE,EPS,年營收成長率,月營收成長率,market_cap,sector,industry
2330.TW,台積電,20.62,7.7,39.28,37.93,6560186404424,Technology,Semiconductors
2454.TW,聯發科,17.34,2.35,44.65,38.06,12080725777960,Technology,Semiconductors
3711.TW,日月光投控,15.31,7.82,43.3,16.68,990942339314,Technology,Semiconductors
2303.TW,聯電,17.75,3.83,30.99,28.76,1527022786970,Technology,Semiconductors
3034.TW,聯詠,24.18,2.84,21.69,25.15,2334742922663,Technology,Semiconductors
6415.TW,矽力-KY,18.99,1.6,10.28,12.77,327607022327,Industrials,Manufacturing
3443.TW,創意,16.51,1.51,1.3,23.47,4831596962065,Industrials,Manufacturing
2379.TW,瑞昱,19.32,1.91,1.95,15.53,2256747219324,Industrials,Manufacturing
2317.TW,鴻海,11.83,3.23,5.86,36.37,7587799816000,Technology,Electronic Equipment
2382.TW,廣達,19.94,2.59,18.0,21.87,1005786832075,Technology,Electronic Equipment
2357.TW,華碩,24.54,4.21,28.49,35.79,3029709896174,Technology,Electronic Equipment
2308.TW,台達電,20.91,1.27,3.92,-3.64,1694118620739,Industrials,Manufacturing
2327.TW,國巨,13.44,1.81,16.57,5.7,1476579097468,Industrials,Manufacturing
3231.TW,緯創,15.6,1.42,16.04,-2.76,4935745989342,Industrials,Manufacturing
2324.TW,仁寶,18.81,1.6,0.11,19.46,3563600984853,Industrials,Manufacturing
2376.TW,技嘉,18.21,3.31,1.48,5.75,667758391673,Industrials,Manufacturing
2891.TW,中信金,16.63,1.86,1.62,-8.09,3176876252009,Financial Services,Insurance
2882.TW,國泰金,11.25,2.04,7.75,16.62,4305504476133,Financial Services,Insurance
2881.TW,富邦金,9.2,2.01,10.22,6.84,6396770259681,Financial Services,Insurance
2886.TW,兆豐金,12.94,1.69,3.55,-9.24,1755239988953,Financial Services,Insurance
2884.TW,玉山金,8.31,1.88,1.29,5.26,7352965317482,Financial Services,Insurance
2892.TW,第一金,10.49,1.5,10.11,-3.14,1538859368801,Financial Services,Insurance
2885.TW,元大金,10.9,1.07,13.59,14.24,5433826295572,Financial Services,Insurance
2887.TW,台新金,16.71,2.17,-1.27,16.78,4775395693409,Financial Services,Insurance
2002.TW,中鋼,17.11,2.74,1.13,-10.05,1216882296455,Basic Materials,Steel
1301.TW,台塑,11.41,2.55,20.13,-14.69,2602661782630,Basic Materials,Chemicals
1303.TW,南亞,11.26,1.06,-5.8,0.19,4720257549171,Basic Materials,Chemicals
6505.TW,台塑化,12.52,2.56,14.06,5.91,4861732205332,Industrials,Manufacturing
1101.TW,台泥,21.47,1.76,9.94,4.03,1495718422449,Industrials,Manufacturing
1216.TW,統一,8.52,2.83,10.05,-3.46,1465367674759,Industrials,Manufacturing
2105.TW,正新,20.72,1.72,2.9,9.68,4929687225141,Industrials,Manufacturing
1326.TW,台化,11.39,3.02,15.23,2.13,3668260108198,Industrials,Manufacturing
2412.TW,中華電,10.57,3.26,4.34,3.04,542419873266,Communication Services,Telecom Services
3045.TW,台灣大,13.85,2.64,-0.13,-4.39,2995375421622,Communication Services,Telecom Services
4904.TW,遠傳,12.74,2.03,3.12,-1.6,3261346673006,Communication Services,Telecom Services
2603.TW,長榮,10.44,3.07,7.73,23.1,773852626315,Industrials,Manufacturing
2609.TW,陽明,12.77,1.34,18.49,21.32,1363913975804,Industrials,Manufacturing
2615.TW,萬海,17.24,3.45,11.1,10.89,1285076225412,Industrials,Manufacturing
2207.TW,和泰車,9.3,3.69,18.01,13.99,1761245976138,Industrials,Manufacturing
3008.TW,大立光,12.89,3.18,17.94,21.61,3921390174702,Industrials,Manufacturing
2474.TW,可成,16.99,1.25,3.23,21.96,3071502392331,Industrials,Manufacturing
6176.TW,瑞儀,8.13,1.3,13.27,-4.85,887959451945,Industrials,Manufacturing
3481.TW,群創,15.68,3.08,13.04,1.73,3589678184602,Industrials,Manufacturing
4968.TW,立積,11.32,1.98,14.93,14.49,4261194711421,Industrials,Manufacturing
6446.TW,藥華藥,17.21,2.7,1.87,6.03,1399491601640,Industrials,Manufacturing
2395.TW,研華,11.42,3.92,7.86,21.76,3192579267386,Industrials,Manufacturing
2912.TW,統一超,19.13,2.51,11.54,9.78,1056690640210,Industrials,Manufacturing
5880.TW,合庫金,15.22,1.28,-4.51,9.36,2239774755849,Financial Services,Insurance
2633.TW,台灣高鐵,21.17,3.86,18.3,6.1,175737420991,Industrials,Manufacturing
