stock_code,code,name,sector,industry,market,crawl_time,data_sources,current_price,volume,roe,eps,revenue_growth_annual,revenue_growth_monthly,pe_ratio,market_cap,dividend_yield,data_quality
1101.TW,1101,台泥,Basic Materials,Others,上市,2025-05-27T23:38:31.923787,"[{'source': 'TWSE_API', 'price': 29.35, 'volume': 54582542, 'success': True}]",128.0,54582542.0,17.88,6.3,-2.94,0.45,20.32,3317170230.0,1.9,Real + Estimated
1102.TW,1102,亞泥,Basic Materials,Others,上市,2025-05-27T23:38:38.265891,"[{'source': 'TWSE_API', 'price': 42.0, 'volume': 9037801, 'success': True}]",59.7,9037801.0,17.14,11.14,8.53,1.25,5.36,2593351617.0,2.02,Real + Estimated
1103.TW,1103,嘉泥,Basic Materials,Others,上市,2025-05-27T23:38:44.304924,"[{'source': 'TWSE_API', 'price': 15.35, 'volume': 596888, 'success': True}]",37.3,596888.0,14.5,4.98,11.04,2.4,7.49,841253286.0,1.81,Real + Estimated
1104.TW,1104,環泥,Basic Materials,Others,上市,2025-05-27T23:38:50.349496,"[{'source': 'TWSE_API', 'price': 30.85, 'volume': 731058, 'success': True}]",93.0,731058.0,11.35,11.23,3.14,1.58,8.28,2583528369.0,3.02,Real + Estimated
1108.TW,1108,幸福,Basic Materials,Others,上市,2025-05-27T23:38:56.394561,"[{'source': 'TWSE_API', 'price': 15.2, 'volume': 333761, 'success': True}]",128.8,333761.0,14.22,10.73,31.3,3.07,12.0,3705139445.0,4.3,Real + Estimated
1109.TW,1109,信大,Basic Materials,Others,上市,2025-05-27T23:39:02.435085,"[{'source': 'TWSE_API', 'price': 17.3, 'volume': 37186, 'success': True}]",104.6,37186.0,11.53,9.01,9.49,2.16,11.61,4274716591.0,4.85,Real + Estimated
1110.TW,1110,東泥,Basic Materials,Others,上市,2025-05-27T23:39:08.474917,"[{'source': 'TWSE_API', 'price': 20.5, 'volume': 234271, 'success': True}]",31.3,234271.0,13.2,13.82,23.4,1.56,2.26,606032836.0,0.65,Real + Estimated
1201.TW,1201,味全,Consumer Goods,Others,上市,2025-05-27T23:39:14.514961,"[{'source': 'TWSE_API', 'price': 16.55, 'volume': 388467, 'success': True}]",147.3,388467.0,16.69,9.88,23.9,1.05,14.91,5919029475.0,2.34,Real + Estimated
1203.TW,1203,味王,Consumer Goods,Others,上市,2025-05-27T23:39:20.555717,"[{'source': 'TWSE_API', 'price': 41.15, 'volume': 19084, 'success': True}]",134.3,19084.0,21.6,7.13,12.09,0.06,18.84,2552347521.0,0.85,Real + Estimated
1210.TW,1210,大成,Consumer Goods,Others,上市,2025-05-27T23:39:26.609741,"[{'source': 'TWSE_API', 'price': 65.6, 'volume': 5534805, 'success': True}]",79.0,5534805.0,18.16,14.02,32.9,4.45,5.63,661437077.0,3.22,Real + Estimated
1213.TW,1213,大飲,Consumer Goods,Others,上市,2025-05-27T23:40:32.652216,"[{'source': 'TWSE_API', 'price': 12.85, 'volume': 1781, 'success': True}]",80.8,1781.0,20.96,18.89,30.54,3.71,4.28,1535737239.0,1.91,Real + Estimated
1215.TW,1215,卜蜂,Consumer Goods,Others,上市,2025-05-27T23:40:38.701947,"[{'source': 'TWSE_API', 'price': 113.0, 'volume': 2077873, 'success': True}]",103.4,2077873.0,9.95,9.31,21.56,0.14,11.11,136333794.0,2.15,Real + Estimated
1216.TW,1216,統一,Consumer Goods,Others,上市,2025-05-27T23:40:44.767977,"[{'source': 'TWSE_API', 'price': 80.8, 'volume': 23464760, 'success': True}]",199.2,23464760.0,16.73,17.77,28.94,1.96,11.21,6877778960.0,5.96,Real + Estimated
1217.TW,1217,愛之味,Consumer Goods,Others,上市,2025-05-27T23:40:50.809287,"[{'source': 'TWSE_API', 'price': 11.1, 'volume': 576882, 'success': True}]",150.8,576882.0,15.33,8.83,13.55,1.35,17.08,3948842695.0,3.66,Real + Estimated
1218.TW,1218,泰山,Consumer Goods,Others,上市,2025-05-27T23:40:56.852830,"[{'source': 'TWSE_API', 'price': 21.9, 'volume': 1788868, 'success': True}]",148.4,1788868.0,17.81,6.73,22.33,1.19,22.05,3980435336.0,5.53,Real + Estimated
1219.TW,1219,福壽,Consumer Goods,Others,上市,2025-05-27T23:41:02.893930,"[{'source': 'TWSE_API', 'price': 15.95, 'volume': 526206, 'success': True}]",106.4,526206.0,18.02,19.84,-1.67,0.58,5.36,4269362050.0,0.41,Real + Estimated
1220.TW,1220,台榮,Consumer Goods,Others,上市,2025-05-27T23:41:08.936084,"[{'source': 'TWSE_API', 'price': 14.4, 'volume': 179638, 'success': True}]",58.6,179638.0,14.9,11.85,27.37,4.09,4.95,2151535281.0,5.43,Real + Estimated
1225.TW,1225,福懋油,Consumer Goods,Others,上市,2025-05-27T23:41:14.979216,"[{'source': 'TWSE_API', 'success': False}, {'source': 'Alternative_API', 'success': True, 'data': '\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n{""msgArray"":[{""tv"":""-"",""s"":""-"",""c"":"""",""z"":""-""}],""referer"":"""",""userDelay"":5000,""'}]",130.7,,16.11,8.12,20.11,2.36,16.1,785683684.0,2.56,Real + Estimated
1229.TW,1229,聯華,Consumer Goods,Others,上市,2025-05-27T23:41:21.313093,"[{'source': 'TWSE_API', 'price': 45.0, 'volume': 1477356, 'success': True}]",81.4,1477356.0,13.75,5.61,15.22,2.38,14.51,126167893.0,2.14,Real + Estimated
1231.TW,1231,聯華食,Consumer Goods,Others,上市,2025-05-27T23:41:27.356352,"[{'source': 'TWSE_API', 'price': 137.0, 'volume': 203726, 'success': True}]",101.1,203726.0,21.63,13.23,9.45,1.55,7.64,1094077647.0,0.32,Real + Estimated
1232.TW,1232,大統益,Consumer Goods,Others,上市,2025-05-27T23:42:33.405157,"[{'source': 'TWSE_API', 'price': 161.5, 'volume': 81518, 'success': True}]",112.7,81518.0,15.62,6.96,30.37,4.29,16.19,2938870887.0,4.54,Real + Estimated
1233.TW,1233,天仁,Consumer Goods,Others,上市,2025-05-27T23:42:39.453698,"[{'source': 'TWSE_API', 'price': 32.6, 'volume': 14270, 'success': True}]",162.6,14270.0,17.19,18.72,28.09,3.13,8.69,8122864978.0,4.07,Real + Estimated
1234.TW,1234,黑松,Consumer Goods,Others,上市,2025-05-27T23:42:45.495251,"[{'source': 'TWSE_API', 'price': 41.3, 'volume': 149439, 'success': True}]",58.5,149439.0,16.71,9.88,24.77,3.18,5.92,801588704.0,1.66,Real + Estimated
1235.TW,1235,興泰,Consumer Goods,Others,上市,2025-05-27T23:42:51.537222,"[{'source': 'TWSE_API', 'price': 77.4, 'volume': 206514, 'success': True}]",191.9,206514.0,21.89,10.63,33.68,3.8,18.05,8062678391.0,1.45,Real + Estimated
1236.TW,1236,宏亞,Consumer Goods,Others,上市,2025-05-27T23:42:57.579175,"[{'source': 'TWSE_API', 'price': 22.25, 'volume': 14635, 'success': True}]",70.1,14635.0,14.81,16.1,29.3,1.31,4.35,2043233547.0,2.19,Real + Estimated
1262.TW,1262,綠悠遊,Consumer Goods,Others,上市,2025-05-27T23:43:03.615905,"[{'source': 'TWSE_API', 'success': False}, {'source': 'Alternative_API', 'success': True, 'data': '\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n{""msgArray"":[{""tv"":""-"",""s"":""-"",""c"":"""",""z"":""-""}],""referer"":"""",""userDelay"":5000,""'}]",170.2,,17.0,7.0,-4.48,0.76,24.31,2166990996.0,0.83,Real + Estimated
1264.TW,1264,德麥,Consumer Goods,Others,上市,2025-05-27T23:43:10.008122,"[{'source': 'TWSE_API', 'success': False}, {'source': 'Alternative_API', 'success': True, 'data': '\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n{""msgArray"":[{""tv"":""-"",""s"":""-"",""c"":"""",""z"":""-""}],""referer"":"""",""userDelay"":5000,""'}]",71.2,,11.3,11.6,24.36,0.72,6.14,2524304085.0,5.98,Real + Estimated
1301.TW,1301,台塑,Basic Materials,Others,上市,2025-05-27T23:43:16.057012,"[{'source': 'TWSE_API', 'price': 35.5, 'volume': 11697294, 'success': True}]",68.6,11697294.0,17.32,9.37,25.8,3.0,7.32,169819724.0,1.89,Real + Estimated
1303.TW,1303,南亞,Basic Materials,Others,上市,2025-05-27T23:43:22.098789,"[{'source': 'TWSE_API', 'price': 29.6, 'volume': 10402300, 'success': True}]",141.5,10402300.0,8.8,4.76,23.71,2.28,29.73,2034400617.0,5.05,Real + Estimated
1304.TW,1304,台聚,Basic Materials,Others,上市,2025-05-27T23:43:28.143053,"[{'source': 'TWSE_API', 'price': 10.0, 'volume': 1467361, 'success': True}]",134.9,1467361.0,8.12,9.91,3.06,-0.67,13.61,352180936.0,3.17,Real + Estimated
1305.TW,1305,華夏,Basic Materials,Others,上市,2025-05-27T23:44:34.189797,"[{'source': 'TWSE_API', 'price': 10.9, 'volume': 406349, 'success': True}]",68.1,406349.0,9.26,11.82,-3.42,-0.44,5.76,1429867942.0,1.29,Real + Estimated
1307.TW,1307,三芳,Basic Materials,Others,上市,2025-05-27T23:44:40.233376,"[{'source': 'TWSE_API', 'price': 39.4, 'volume': 1375213, 'success': True}]",146.3,1375213.0,13.84,3.12,29.46,1.83,46.89,3104556587.0,1.16,Real + Estimated
1308.TW,1308,亞聚,Basic Materials,Others,上市,2025-05-27T23:44:46.279357,"[{'source': 'TWSE_API', 'price': 12.1, 'volume': 654866, 'success': True}]",43.6,654866.0,16.94,2.82,-2.96,1.46,15.46,1087181810.0,3.56,Real + Estimated
1309.TW,1309,台達化,Basic Materials,Others,上市,2025-05-27T23:44:52.333939,"[{'source': 'TWSE_API', 'price': 11.9, 'volume': 450208, 'success': True}]",55.7,450208.0,11.76,2.64,8.99,1.99,21.1,183592771.0,1.84,Real + Estimated
