股票代碼,股票名稱,EPS,ROE,營收成長率,速動比率,現價,市值,產業,部門
1101.TW,"TCC Group Holdings Co., Ltd.",1.42,5.564,72.89999999999999,1.671,29.8,224429162496,Building Materials,Basic Materials
1102.TW,Asia Cement Corporation,3.85,6.379,4.6,1.358,42.55,150906126336,Building Materials,Basic Materials
1103.TW,Chia Hsin Cement Corporation,0.48,1.533,-3.0,3.271,14.4,9508738048,Building Materials,Basic Materials
1104.TW,Universal Cement Corporation,2.15,6.494,-4.3,1.78,26.7,18334408704,Building Materials,Basic Materials
1108.TW,Lucky Cement Co.,1.22,8.387,-10.2,0.393,13.3,5383015424,Building Materials,Basic Materials
1109.TW,"Hsing Ta Cement Co.,Ltd",1.37,5.193,-31.2,5.734,15.8,5390312448,Building Materials,Basic Materials
1110.TW,"Southeast Cement Co., Ltd.",0.61,4.058,26.700000000000003,0.879,17.6,10030011392,Building Materials,Basic Materials
1201.TW,Wei Chuan Foods Corporation,0.87,5.906000000000001,4.3999999999999995,0.66,16.3,8248826880,Packaged Foods,Consumer Defensive
1203.TW,Ve Wong Corporation,2.36,11.0649996,-10.8,1.256,34.9,8295939584,Packaged Foods,Consumer Defensive
1210.TW,"Great Wall Enterprise Co., Ltd.",4.19,13.314,-5.2,0.508,53.4,44680155136,Packaged Foods,Consumer Defensive
1213.TW,"Oceanic Beverages Co., Inc.",8.7,104.096,322.7,4.411,12.55,710613632,Beverages - Non-Alcoholic,Consumer Defensive
1215.TW,"Charoen Pokphand Enterprise (Taiwan) Co., Ltd.",6.54,17.763,1.6,0.36,93.0,27415472128,Packaged Foods,Consumer Defensive
1216.TW,Uni-President Enterprises Corp.,3.62,15.977,7.199999999999999,0.681,74.5,423310491648,Packaged Foods,Consumer Defensive
1217.TW,AGV Products Corporation,0.58,3.816,11.700000000000001,0.606,10.8,5340740608,Packaged Foods,Consumer Defensive
1218.TW,"Taisun Enterprise Co., Ltd.",1.52,5.965,-9.5,3.114,18.7,9094183936,Packaged Foods,Consumer Defensive
1219.TW,"Fwusow Industry Co., Ltd.",0.53,2.328,-4.1000000000000005,0.866,13.2,4504341504,Packaged Foods,Consumer Defensive
1220.TW,"Tai Roun Products Co.,Ltd.",1.17,9.0670004,13.900000000000002,2.041,13.2,2328466944,Packaged Foods,Consumer Defensive
1225.TW,"Formosa Oilseed Processing Co., Ltd.",1.78,11.9849995,-12.7,0.87,29.65,7183246336,Packaged Foods,Consumer Defensive
1227.TW,Standard Foods Corporation,1.91,9.905,6.7,1.57,32.1,29160280064,Packaged Foods,Consumer Defensive
1229.TW,Lien Hwa Industrial Holdings Corporation,2.46,6.994,-26.400000000000002,0.994,45.4,77340721152,Conglomerates,Industrials
1231.TW,Lian Hwa Foods Corporation,4.22,18.573,20.9,1.058,118.0,32015994880,Packaged Foods,Consumer Defensive
1232.TW,TTET Union Corporation,8.22,24.055,-2.8000000000000003,1.674,153.0,24476176384,Packaged Foods,Consumer Defensive
1233.TW,"Ten Ren Tea Co., Ltd.",0.97,5.935,2.0,0.682,31.55,2856820992,Packaged Foods,Consumer Defensive
