Date,Open,High,Low,Close,Volume
2022-05-03,24.0,24.45,23.95,24.15,1169460
2022-05-04,24.35,24.8,24.15,24.6,1924131
2022-05-05,25.05,25.4,24.8,24.95,2408797
2022-05-06,24.5,24.95,24.25,24.55,1768681
2022-05-09,24.5,24.5,23.05,23.1,1824442
2022-05-10,24.45,25.4,24.25,25.4,9111026
2022-05-11,25.7,27.4,25.2,27.1,48447672
2022-05-12,26.6,27.4,25.6,25.6,21161776
2022-05-13,26.0,26.35,25.2,25.4,7537180
2022-05-16,25.95,26.6,25.6,26.4,9618138
2022-05-17,26.4,26.5,25.75,25.9,6683601
2022-05-18,26.1,26.7,25.9,26.1,5850604
2022-05-19,25.25,25.8,24.85,25.45,4747831
2022-05-20,25.6,25.9,25.25,25.3,3260097
2022-05-23,25.8,27.4,25.75,26.0,11331287
2022-05-24,26.0,26.35,25.0,25.0,5440491
2022-05-25,25.05,26.2,24.4,26.2,5906909
2022-05-26,26.05,28.1,25.95,27.25,37108879
2022-05-27,27.75,28.25,26.9,27.25,20088511
2022-05-30,27.65,27.75,26.7,27.0,6632688
2022-05-31,27.1,28.35,27.1,27.3,16796426
2022-06-01,27.2,27.3,26.55,26.7,6571582
2022-06-02,26.6,27.25,26.55,26.75,3477379
2022-06-06,26.55,26.75,26.15,26.45,3290729
2022-06-07,26.3,27.9,26.25,27.35,9943715
2022-06-08,27.5,28.05,26.95,27.0,7307020
2022-06-09,27.2,28.75,27.2,28.4,22901235
2022-06-10,27.85,28.95,27.85,28.5,13665643
2022-06-13,27.8,28.0,26.7,26.9,8337668
2022-06-14,26.3,26.75,25.7,26.25,5553866
2022-06-15,26.3,26.7,25.8,25.85,4560505
2022-06-16,26.35,26.6,25.4,25.4,4183362
2022-06-17,25.0,25.4,24.7,25.15,3310878
2022-06-20,25.25,25.3,23.55,23.55,5203620
2022-06-21,24.0,24.75,23.85,24.6,3416246
2022-06-22,24.6,24.7,23.5,23.6,3281074
2022-06-23,23.95,24.25,23.3,23.6,2776899
2022-06-24,24.15,24.7,23.85,24.4,2320618
2022-06-27,25.05,25.5,24.95,25.1,4526192
2022-06-28,25.2,25.75,25.0,25.2,2788841
2022-06-29,25.0,25.05,24.4,24.9,1757270
2022-06-30,25.0,25.55,24.5,25.35,4049576
2022-07-01,25.7,26.15,23.9,23.9,9633481
2022-07-04,24.3,24.65,23.55,23.55,2182064
2022-07-05,24.1,24.5,23.6,24.25,2701481
2022-07-06,25.25,25.6,24.4,24.4,5885061
2022-07-07,23.85,24.5,23.65,24.25,3939231
2022-07-08,24.55,26.65,24.5,26.35,13082727
2022-07-11,27.3,28.15,26.8,27.4,24538153
2022-07-12,26.9,27.95,26.6,27.55,17114036
2022-07-13,28.5,29.4,27.6,27.8,22900984
2022-07-14,28.05,28.3,27.1,28.1,12394584
2022-07-15,28.3,28.85,27.8,27.95,12108745
2022-07-18,28.55,29.65,28.3,28.6,20451385
2022-07-19,28.45,28.8,28.0,28.0,7445103
2022-07-20,28.65,28.7,27.85,27.9,5602516
2022-07-21,28.2,28.95,27.4,28.7,9970153
2022-07-22,28.7,30.3,28.2,28.4,19546480
2022-07-25,28.5,28.5,27.4,27.75,6293286
2022-07-26,27.9,28.15,27.25,27.4,4739483
2022-07-27,27.2,28.0,27.1,27.9,3730836
