股票代碼,股票名稱,目前價格,成交量,市值,本益比,殖利率,更新時間
1101.TW,1101.TW,29.75,25421581,0,0,0,2025-05-24 08:02:22
1102.TW,1102.TW,42.95000076293945,15557313,0,0,0,2025-05-24 08:02:33
1103.TW,1103.TW,15.899999618530273,192100,0,0,0,2025-05-24 08:02:45
1104.TW,1104.TW,30.5,1655743,0,0,0,2025-05-24 08:02:58
1108.TW,1108.TW,15.25,109567,0,0,0,2025-05-24 08:03:10
1109.TW,1109.TW,17.25,33009,0,0,0,2025-05-24 08:03:21
1110.TW,1110.TW,20.649999618530273,164500,0,0,0,2025-05-24 08:03:34
1201.TW,1201.TW,16.850000381469727,194964,0,0,0,2025-05-24 08:03:45
1203.TW,1203.TW,40.900001525878906,12108,0,0,0,2025-05-24 08:03:58
1210.TW,1210.TW,64.0999984741211,3317143,0,0,0,2025-05-24 08:04:10
1213.TW,1213.TW,12.800000190734863,1066,0,0,0,2025-05-24 08:04:22
1215.TW,1215.TW,114.0,696035,0,0,0,2025-05-24 08:04:34
1216.TW,1216.TW,79.9000015258789,13564798,0,0,0,2025-05-24 08:04:47
1217.TW,1217.TW,11.199999809265137,376002,0,0,0,2025-05-24 08:04:59
1218.TW,1218.TW,21.649999618530273,1167223,0,0,0,2025-05-24 08:05:12
1219.TW,1219.TW,15.75,305730,0,0,0,2025-05-24 08:05:24
1220.TW,1220.TW,14.5,359047,0,0,0,2025-05-24 08:05:36
1225.TW,1225.TW,29.649999618530273,0,0,0,0,2025-05-24 08:05:48
1227.TW,1227.TW,35.29999923706055,309000,0,0,0,2025-05-24 08:05:59
1229.TW,1229.TW,45.599998474121094,622889,0,0,0,2025-05-24 08:06:12
1231.TW,1231.TW,139.5,255453,0,0,0,2025-05-24 08:06:24
1232.TW,1232.TW,162.0,44261,0,0,0,2025-05-24 08:06:36
1233.TW,1233.TW,32.599998474121094,13000,0,0,0,2025-05-24 08:06:49
1234.TW,1234.TW,41.599998474121094,85149,0,0,0,2025-05-24 08:07:01
1235.TW,1235.TW,95.4000015258789,70051,0,0,0,2025-05-24 08:07:15
1236.TW,1236.TW,22.649999618530273,0,0,0,0,2025-05-24 08:07:26
1256.TW,1256.TW,117.5,4003,0,0,0,2025-05-24 08:07:39
1301.TW,1301.TW,36.349998474121094,6776791,0,0,0,2025-05-24 08:07:51
1303.TW,1303.TW,30.75,6953754,0,0,0,2025-05-24 08:08:03
1304.TW,1304.TW,10.149999618530273,570025,0,0,0,2025-05-24 08:08:15
1305.TW,1305.TW,11.050000190734863,201446,0,0,0,2025-05-24 08:08:28
1307.TW,1307.TW,39.099998474121094,537092,0,0,0,2025-05-24 08:08:40
1308.TW,1308.TW,12.300000190734863,302355,0,0,0,2025-05-24 08:08:52
1309.TW,1309.TW,11.75,229687,0,0,0,2025-05-24 08:09:04
1310.TW,1310.TW,8.710000038146973,212493,0,0,0,2025-05-24 08:09:17
1312.TW,1312.TW,10.699999809265137,2832809,0,0,0,2025-05-24 08:09:29
1313.TW,1313.TW,8.40999984741211,382735,0,0,0,2025-05-24 08:09:42
1315.TW,1315.TW,66.19999694824219,5403,0,0,0,2025-05-24 08:09:55
1316.TW,1316.TW,15.399999618530273,6035972,0,0,0,2025-05-24 08:10:08
1319.TW,1319.TW,134.5,2109741,0,0,0,2025-05-24 08:10:20
1321.TW,1321.TW,37.0,106000,0,0,0,2025-05-24 08:10:33
1323.TW,1323.TW,20.600000381469727,10000,0,0,0,2025-05-24 08:10:46
1324.TW,1324.TW,11.550000190734863,43215,0,0,0,2025-05-24 08:10:59
